vencimento,cliente,inicio,fim,tempoMs,status
"cliente undefined","14087635","2026-02-20T14:25:41.061Z","2026-02-20T14:26:05.344Z","24283.38","OK"
"cliente undefined","14022745","2026-02-20T14:25:41.062Z","2026-02-20T14:26:05.789Z","24727.32","OK"
"cliente undefined","14087635","2026-02-20T14:41:34.767Z","2026-02-20T14:41:59.769Z","25001.97","OK"
"cliente undefined","14022745","2026-02-20T14:41:34.768Z","2026-02-20T14:42:00.058Z","25289.79","OK"
"cliente undefined","14087635","2026-02-20T14:53:28.900Z","2026-02-20T14:53:54.061Z","25161.20","OK"
"cliente undefined","14022745","2026-02-20T14:53:28.902Z","2026-02-20T14:53:54.247Z","25344.31","OK"
"cliente undefined","14087635","2026-02-20T16:14:39.764Z","2026-02-20T16:15:04.205Z","24440.82","OK"
"cliente undefined","14022745","2026-02-20T16:14:39.766Z","2026-02-20T16:15:04.365Z","24598.72","OK"
"cliente undefined","14087635","2026-02-20T16:23:22.667Z","2026-02-20T16:23:47.711Z","25043.49","OK"
"cliente undefined","14022745","2026-02-20T16:23:22.670Z","2026-02-20T16:23:48.221Z","25550.99","OK"
"cliente undefined","14087635","2026-02-20T16:25:54.537Z","2026-02-20T16:26:19.741Z","25203.96","OK"
"cliente undefined","14022745","2026-02-20T16:25:54.541Z","2026-02-20T16:26:20.161Z","25619.65","OK"
"cliente undefined","14087635","2026-02-20T16:28:07.526Z","2026-02-20T16:28:32.147Z","24621.05","OK"
"cliente undefined","14087635","2026-02-20T16:29:45.820Z","2026-02-20T16:30:10.077Z","24256.12","OK"
"cliente undefined","14022745","2026-02-20T16:29:45.823Z","2026-02-20T16:30:27.783Z","41959.86","OK"
"cliente undefined","14102518","2026-02-20T16:37:04.473Z","2026-02-20T16:37:04.473Z","0","ERRO"
"cliente undefined","13983180","2026-02-20T16:36:53.077Z","2026-02-20T16:37:18.017Z","24940.55","OK"
"cliente undefined","14102518","2026-02-20T16:51:01.295Z","2026-02-20T16:51:01.295Z","0","ERRO"
"cliente undefined","13983180","2026-02-20T16:51:02.422Z","2026-02-20T16:51:02.422Z","0","ERRO"
